state,district,market
Keralam,Ernakulam,Angamaly Market
Keralam,Kottayam,Ramapuram VFPCK Market
Keralam,Idukki,Thompramkudi VFPCK Market
Keralam,Malappuram,Vazhayur VFPCK Market
Keralam,Kollam,Anchal VFPCK Market
Keralam,Thirssur,Thottippal VFPCK Market
Keralam,Palakad,Alenellur  VFPCK Market
Keralam,Kannur,Sreekandapuram VFPCK Market
Keralam,Thiruvananthapuram,Kollayil  VFPCK Market
Keralam,Thirssur,Karuvannur VFPCK Market
Keralam,Kozhikode(Calicut),Kodenchery VFPCK Market
Keralam,Kottayam,Thottuva  VFPCK Market
Keralam,Pathanamthitta,Chittar  VFPCK Market
Keralam,Kannur,Maloor VFPCK Market
Keralam,Pathanamthitta,Kodumon VFPCK Market
Keralam,Pathanamthitta,Ezhamkulam VFPCK Market
Keralam,Malappuram,Othayi  VFPCK Market
Keralam,Malappuram,Pallikkal VFPCK Market
Keralam,Pathanamthitta,Seethathode  VFPCK Market
Keralam,Kozhikode(Calicut),Mukkam  VFPCK Market
Keralam,Ernakulam,Edackattuvayal  VFPCK Market
Keralam,Thirssur,Karalam VFPCK Market
Keralam,Kollam,Punalur Market
Keralam,Thiruvananthapuram,Vengannore  VFPCK Market
Keralam,Kollam,Inchakkad VFPCK Market
Keralam,Pathanamthitta,Erath  VFPCK Market
Keralam,Kozhikode(Calicut),Koodaranji VFPCK Market
Keralam,Thirssur,Amballur  VFPCK Market
Keralam,Malappuram,Koorad Wandoor VFPCK Market
Keralam,Wayanad,Padinjarathara  VFPCK Market
Keralam,Ernakulam,Kanjoor VFPCK Market
Keralam,Kollam,Sasthamkotta VFPCK Market
Keralam,Thiruvananthapuram,Mylachal VFPCK Market
Keralam,Thirssur,Puthur  VFPCK Market
Keralam,Malappuram,Kodakkad  VFPCK Market
Keralam,Malappuram,Kalikavu VFPCK Market
Keralam,Ernakulam,Kurumassery VFPCK Market
Keralam,Kollam,Nedumpana  VFPCK Market
Keralam,Kannur,Koodali  VFPCK Market
Keralam,Thirssur,Kadukutty VFPCK Market
Keralam,Thiruvananthapuram,Neyyattinkara  VFPCK Market
Keralam,Kottayam,Kanjirappally Market
Keralam,Alappuzha,Chennithala VFPCK Market
Keralam,Kollam,Puthur VFPCK Market
Keralam,Kollam,Sooranad  VFPCK Market
Keralam,Idukki,Munnar Market
Keralam,Ernakulam,Vengola  VFPCK Market
Keralam,Palakad,Kottayi VFPCK Market
Madhya Pradesh,Vidisha,Lateri APMC
Madhya Pradesh,Dhar,Kukshi(F&V) APMC
Madhya Pradesh,Badwani,Anjad(F&V) APMC
Madhya Pradesh,Chhatarpur,Chattarpur(F&V) APMC
Madhya Pradesh,Shajapur,Kalapipal(F&V) APMC
Madhya Pradesh,Balaghat,Katangi APMC
Madhya Pradesh,Shivpuri,Khatora APMC
Madhya Pradesh,Morena,Morena(F&V) APMC
Madhya Pradesh,Agar Malwa,Agar(F&V) APMC
Madhya Pradesh,Sagar,Malthone APMC
Madhya Pradesh,Ashoknagar,Piprai APMC
Madhya Pradesh,Betul,Bhensdehi APMC
Madhya Pradesh,Vidisha,Gulabganj APMC
Madhya Pradesh,Morena,Banmorkalan APMC
Maharashtra,Jalgaon,Parola APMC
Maharashtra,Chattrapati Sambhajinagar,Sillod(Bharadi) APMC
Maharashtra,Jalgaon,Jalgaon APMC
Maharashtra,Nagpur,Umared APMC
Maharashtra,Latur,Nilanga APMC
Maharashtra,Amarawati,Dhamngaon-Railway APMC
Maharashtra,Buldhana,Chikali APMC
Maharashtra,Akola,Patur APMC
Maharashtra,Akola,Telhara APMC
Maharashtra,Buldhana,"Bsk Krishi Bazar Private Limited, Mehkar, Dist Buldhana"
Maharashtra,Ahilyanagar,Kopargaon APMC
Maharashtra,Latur,Chakur APMC
Maharashtra,Yavatmal,KISAN MARKET YARD
Maharashtra,Nanded,Mudkhed APMC
Maharashtra,Parbhani,Gangakhed APMC
Maharashtra,Jalna,BHOKARDAN APMC
Maharashtra,Dhule,Shirpur APMC
Maharashtra,Chattrapati Sambhajinagar,Vaijpur APMC
Maharashtra,Ahilyanagar,Newasa(Ghodegaon) APMC
Maharashtra,Chattrapati Sambhajinagar,Lasur Station APMC
Maharashtra,Ahilyanagar,Rahuri(Vambori) APMC
Maharashtra,Washim,Malegaon(Vashim) APMC
Maharashtra,Amarawati,Achalpur APMC
Maharashtra,Raigad,Mangaon APMC
Maharashtra,Beed,Ambejogai APMC
Maharashtra,Buldhana,Lonar APMC
Manipur,Thoubal,Thoubal APMC
Manipur,Bishnupur,Bishenpur APMC
Meghalaya,West Garo Hills,Tura APMC
Meghalaya,East Garo Hills,Williamnagar APMC
Mizoram,Aizawl,Champai APMC
Nagaland,Mokokchung,Mangkolemba APMC
Nagaland,Mokokchung,Mokokchung Town APMC
Odisha,Keonjhar,Keonjhar(Dhekikote) APMC
Odisha,Sambalpur,Kuchinda APMC
Odisha,Kalahandi,Bhawanipatna APMC
Odisha,Khurda,Balugaon APMC
Odisha,Khurda,Jatni APMC
Odisha,Kandhamal,Kandhamal APMC
Odisha,Mayurbhanja,Narasinghpur APMC
Odisha,Ganjam,Bhanjanagar APMC
Pondicherry,Pondicherry,Thattanchavady APMC
Punjab,Sangrur,Lehra Gaga APMC
Punjab,Hoshiarpur,Mukerian(Talwara) APMC
Punjab,Ludhiana,Jagraon APMC
Punjab,Bhatinda,Rampuraphul(Nabha Mandi) APMC
Punjab,Ferozpur,Ferozepur Cantt. APMC
Punjab,Muktsar,Muktsar APMC
Punjab,Bhatinda,Talwandi Sabo APMC
Punjab,Muktsar,Malout APMC
Punjab,Bhatinda,Raman APMC
Punjab,Gurdaspur,Batala APMC
Punjab,Kapurthala,Phagwara APMC
Punjab,Jalandhar,Shahkot APMC
Punjab,Fazilka,Abohar APMC
Punjab,Fatehgarh,Sirhind APMC
Rajasthan,Jhunjhunu,Jhunjhunu APMC
Rajasthan,Kotputli- Behror,Behror APMC
Rajasthan,Dausa,Mandawar APMC
Rajasthan,Khairthal Tijara,Khairthal APMC
Rajasthan,Karauli,Hindoun APMC
Rajasthan,Ajmer,Madanganj Kishangarh APMC
Rajasthan,Dausa,Lalsot APMC
Rajasthan,Bharatpur,Bhusawar Bair APMC
Rajasthan,Ganganagar,Kesarisinghpur APMC
Rajasthan,Tonk,Deoli APMC
Rajasthan,Jaipur,Chomu Grain APMC
Rajasthan,Beawar,Bijaynagar APMC
Rajasthan,Baran,Kawai Salpura - Atru APMC
Rajasthan,Jodhpur,Bhagat Ki Kothi APMC
Rajasthan,Tonk,Niwai APMC
Rajasthan,Hanumangarh,Hanumangarh APMC
Rajasthan,Ganganagar,Sadulshahar APMC
Rajasthan,Jhalawar,Bhawani Mandi APMC
Rajasthan,Baran,Atru APMC
Rajasthan,Nagaur,Merta City APMC
Rajasthan,Tonk,Tonk APMC
Rajasthan,Kota,Kota (F&V) APMC
Rajasthan,Bikaner,Nokha APMC
Rajasthan,Baran,Lehsun Chhipabarod - Chhabra APMC
Rajasthan,Baran,Nahargarh APMC
Rajasthan,Jodhpur,Bilara APMC
Rajasthan,Pali,Rani APMC
Rajasthan,Bikaner,Pugal Road Grain APMC
Rajasthan,Bikaner,Lunkaransar APMC
Rajasthan,Jhunjhunu,Chirawa APMC
Rajasthan,Alwar,Laxmangarh - Barodamev  APMC
Rajasthan,Deeg,Sikri APMC
Rajasthan,Deeg,Pahari APMC
Rajasthan,Jodhpur,Osiyan Mathania APMC
Rajasthan,Alwar,Barodamev APMC
Rajasthan,Tonk,Uniyara APMC
Rajasthan,Deeg,Deeg APMC
Rajasthan,Bundi,Sumerganj APMC
Rajasthan,Sirohi,Abu Road APMC
Tamil Nadu,Theni,Kambam(Uzhavar Sandhai )
Tamil Nadu,Erode,Sampath Nagar(Uzhavar Sandhai )
Tamil Nadu,Chengalpattu,Guduvancheri(Uzhavar Sandhai )
Tamil Nadu,Thirupur,Kangayam(Uzhavar Sandhai )
Tamil Nadu,Vellore,Perampet(Uzhavar Sandhai)
Tamil Nadu,Dindigul,Palani(Uzhavar Sandhai )
Tamil Nadu,Vellore,Gudiyatham(Uzhavar Sandhai )
Tamil Nadu,Thiruvannamalai,Chengam(Uzhavar Sandhai )
Tamil Nadu,Karur,Karur(Uzhavar Sandhai )
Tamil Nadu,Chengalpattu,Jameenrayapettai(Uzhavar Sandhai )
Tamil Nadu,Chengalpattu,Pallavaram(Uzhavar Sandhai )
Tamil Nadu,Chengalpattu,Medavakkam(Uzhavar Sandhai )
Tamil Nadu,Thanjavur,Papanasam(Uzhavar Sandhai )
Tamil Nadu,Nagapattinam,Mayiladuthurai(Uzhavar Sandhai )
Tamil Nadu,Pudukkottai,Aranthangi(Uzhavar Sandhai )
Tamil Nadu,Thirupathur,Natrampalli(Uzhavar Sandhai )
Tamil Nadu,Thirupathur,Vaniyampadi(Uzhavar Sandhai )
Tamil Nadu,Ariyalur,Ariyalur(Uzhavar Sandhai)
Tamil Nadu,Thiruvellore,Ambattur(Uzhavar Sandhai )
Tamil Nadu,Theni,Chinnamanur APMC
Tamil Nadu,Madurai,Thirumangalam APMC
Telangana,Nalgonda,Venkateswarnagar APMC
Telangana,Nalgonda,Miryalguda(Rythu Bazar) APMC
Telangana,Ranga Reddy,Ibrahimputnam APMC
Telangana,Hanmakonda,Excise Colony RBZ (under APMC Warangal)
Telangana,Adilabad,Adilabad(Rythu Bazar) APMC
Telangana,Ranga Reddy,Narsingi(Babbuguda) APMC
Telangana,Nalgonda,Suryapeta APMC
Telangana,Sangareddy,Patancheru APMC
Telangana,Sangareddy,APMC PATANCHERU
Telangana,Ranga Reddy,Shankarapally APMC
Telangana,Mahbubnagar,Gadwal APMC
Telangana,Karimnagar,Rudrangi APMC
Telangana,Khammam,Sathupally APMC
Telangana,Hanmakonda,Kamalapur APMC
Telangana,Khammam,Kallur APMC
Telangana,Ranga Reddy,Tanduru APMC
Telangana,Khammam,"Pavilion Ground,Khammam,RBZ APMC"
Telangana,Khammam,"Sattupalli (ramalayam),RBZ APMC"
Tripura,North Tripura,Dasda APMC
Uttar Pradesh,Gautam Budh Nagar,Dadri APMC
Uttar Pradesh,Muzaffarnagar,Shahpur APMC
Uttar Pradesh,Saharanpur,Nakur APMC
Uttar Pradesh,Saharanpur,Sultanpurchilkana APMC
Uttar Pradesh,Bhadohi(Sant Ravi Nagar),Gopiganj APMC
West Bengal,Dakshin Dinajpur,Balurghat APMC
West Bengal,Jalpaiguri,Moynaguri APMC
West Bengal,Jalpaiguri,Belacoba APMC
West Bengal,Birbhum,Birbhum APMC
West Bengal,Paschim Bardhaman,Asansol APMC
West Bengal,Birbhum,Sainthia APMC
West Bengal,Puruliya,Kasipur APMC
West Bengal,Malda,Gajol APMC
West Bengal,Birbhum,Bolpur APMC
West Bengal,Uttar Dinajpur,Kaliaganj APMC
Andhra Pradesh,Anakapally,Anakapally APMC
Andhra Pradesh,SPSR Nellore,Atmakur (SPSR Nellore District) APMC
Bihar,Madhubani,Jainagar APMC
Bihar,Begusarai,Teghra APMC
Bihar,Begusarai,Balliah APMC
Chattisgarh,Rajnandgaon,Rajnandgaon APMC
Chattisgarh,Sukma,Doranpal APMC
Chattisgarh,Sukma,Kukanar APMC
Chattisgarh,Sukma,Sukma APMC
Chattisgarh,Balrampur,Ramanujganj APMC
Chattisgarh,Gariyaband,Devbhog APMC
Chattisgarh,Bastar,Lohandiguda APMC
Chattisgarh,Kanker,Antagarh APMC
Chattisgarh,Dhamtari,Belarbahara APMC
Chattisgarh,Balrampur,Kusmee APMC
Chattisgarh,Kabirdham,Pandariya APMC
Chattisgarh,Bilaspur,Bilha APMC
Chattisgarh,Kanker,Kanker APMC
Chattisgarh,Kanker,Sarona APMC
Chattisgarh,Kanker,Dudhawa APMC
Chattisgarh,Balodabazar,Kasdol APMC
Chattisgarh,Dhamtari,Belargaon APMC
Chattisgarh,Kanker,Bardewri APMC
Chattisgarh,Bilaspur,Jairamnagar APMC
Chattisgarh,Kanker,Amoda APMC
Chattisgarh,Raipur,Navapara APMC
Chattisgarh,Koria,Manendragarh APMC
Goa,North Goa,Goa State Horticultural Corporation Ltd.
Gujarat,Banaskanth,Tharad(Rah) APMC
Gujarat,Sabarkantha,Dhansura APMC
Gujarat,Banaskanth,Deesa(Bhildi) APMC
Gujarat,Bhavnagar,Bhavnagar APMC
Gujarat,Kachchh,Bhuj APMC
Gujarat,Panchmahals,Gogamba APMC
Gujarat,Ahmedabad,Sanad APMC
Haryana,Palwal,Hassanpur APMC
Himachal Pradesh,Sirmore,SMY Nahan
Karnataka,Bengaluru,"Binny Mill (F&V), Bengaluru APMC"
Karnataka,Tumakuru,Tumakuru APMC
Karnataka,Uttara Kannada,Siddapur APMC
Karnataka,Shivamogga,Hosanagara APMC
Karnataka,Uttara Kannada,Yellapur APMC
Karnataka,Chikkamagaluru,Tarikere APMC
Karnataka,Yadgir,Shorapur APMC
Karnataka,Vijayanagara,Kudligi APMC
Karnataka,Chikkaballapur,Chickkaballapura APMC
Karnataka,Tumakuru,Gubbi APMC
Karnataka,Hassan,Hassan APMC
Karnataka,Belagavi,Nippani APMC
Karnataka,Uttara Kannada,Mundgod APMC
Karnataka,Chamarajanagar,Hanuru APMC
Karnataka,Davangere,Harappana Halli APMC
Karnataka,Bagalkot,Hungund APMC
Keralam,Wayanad,Muttil VFPCK Market
Keralam,Kollam,Kulathoopuzha VFPCK Market
Keralam,Kollam,Piravanthoor VFPCK Market
Keralam,Kottayam,Pala Market
Keralam,Thiruvananthapuram,Kilmannur VFPCK Market
Keralam,Kollam,Kollam Market
Keralam,Kannur,Payam VFPCK Market
Keralam,Pathanamthitta,Mallappally  VFPCK Market
Keralam,Kollam,Pattazhy North VFPCK Market
Keralam,Idukki,Udumbannoor  VFPCK Market
Keralam,Kollam,Valakom  VFPCK Market
Keralam,Thiruvananthapuram,Nedumangadu Market
Keralam,Ernakulam,Karumaloor VFPCK Market
Keralam,Kollam,Edamon VFPCK Market
Keralam,Ernakulam,Puthenvelikkara  VFPCK Market
Keralam,Alappuzha,Edathwa VFPCK Market
Keralam,Pathanamthitta,Pandalam Market
Keralam,Thirssur,Pazhayannur VFPCK Market
Keralam,Palakad,Perumatty VFPCK Market
Keralam,Ernakulam,Mazhuvannur VFPCK Market
Keralam,Pathanamthitta,Parakkodu Market
Madhya Pradesh,Rajgarh,Pachaur(F&V) APMC
Madhya Pradesh,Indore,Sanwer(F&V) APMC
Madhya Pradesh,Anupur,Anuppur(F&V) APMC
Madhya Pradesh,Rewa,Hanumana(F&V) APMC
Madhya Pradesh,Ratlam,Sailana(F&V) APMC
Madhya Pradesh,Jhabua,Jhabua(F&V) APMC
Madhya Pradesh,Shajapur,Berachha APMC
Madhya Pradesh,Hoshangabad,Hoshangabad APMC
Madhya Pradesh,Dewas,Bagli APMC
Madhya Pradesh,Anupur,Jaithari APMC
Maharashtra,Jalgaon,Jalgaon(Masawat) APMC
Maharashtra,Palghar,Kalyan APMC
Maharashtra,Beed,Patoda APMC
Maharashtra,Dharashiv,Kalamb (Dharashiv) APMC
Maharashtra,Nanded,Nanded APMC
Maharashtra,Washim,"N.N.Mundhada Agriculture Market Produce, Dist Washim"
Maharashtra,Jalna,Jafrabad APMC
Maharashtra,Amarawati,Varud APMC
Maharashtra,Jalna,Mantha APMC
Maharashtra,Beed,Parali Vaijyanath APMC
Maharashtra,Buldhana,Jalgaon Jamod(Aasalgaon) APMC
Maharashtra,Buldhana,Krushi Utpanna Bazar Samiti Shegaon
Maharashtra,Solapur,Kurdwadi APMC
Maharashtra,Yavatmal,Pandhakawada APMC
Maharashtra,Buldhana,Khamgaon APMC
Maharashtra,Palghar,Ulhasnagar APMC
Maharashtra,Jalna,Partur APMC
Maharashtra,Buldhana,Sindkhed Raja APMC
Maharashtra,Nashik,"Shri Rameshwar Krushi Market, M.Nagar, Tal Deola, Dist Nashik"
Maharashtra,Nashik,"Malharshree Khajgi Krushi Utpann Bajar, Chandanpuri Tal Malegaon, Nashik"
Maharashtra,Buldhana,"Jaykissan Krushi Uttpan Khajgi Bazar, Khamgaon, Dist Buldhana"
Maharashtra,Amarawati,Varud(Rajura Bazar) APMC
Maharashtra,Latur,Devani APMC
Maharashtra,Latur,Udgir APMC
Maharashtra,Nanded,Hadgaon(Tamsa) APMC
Maharashtra,Hingoli,Jawala-Bajar APMC
Meghalaya,West Garo Hills,Rongram APMC
Nagaland,Mon,Mon APMC
Nagaland,Longleng,Longleng APMC
Odisha,Cuttack,Rairangpur APMC
Punjab,Mansa,Budalada APMC
Punjab,Ropar (Rupnagar),Morinda APMC
Punjab,Gurdaspur,Gurdaspur APMC
Punjab,Fazilka,Jalalabad APMC
Punjab,Tarntaran,Bhikhiwind APMC
Punjab,Jalandhar,Bilga APMC
Punjab,Tarntaran,Khadur Sahib(Fetehabad) APMC
Punjab,Ludhiana,Samrala APMC
Punjab,Jalandhar,Nakodar APMC
Punjab,Jalandhar,Mehatpur APMC
Punjab,Moga,Nihal Singh Wala APMC
Punjab,Barnala,Tapa(Tapa Mandi) APMC
Punjab,Fatehgarh,Amloh(Gobind Garh Mandi) APMC
Punjab,Jalandhar,Shakot (Malsian) APMC
Rajasthan,Bharatpur,Bharatpur APMC
Rajasthan,Ganganagar,Anupgarh APMC
Rajasthan,Dausa,Mahuwa APMC
Rajasthan,Sikar,Sri Madhopur APMC
Rajasthan,Chittorgarh,Barisadri APMC
Rajasthan,Ganganagar,Sriganganagar (Grain) APMC
Rajasthan,Bikaner,Bikaner (Grain) APMC
Rajasthan,Bikaner,Khajuwala APMC
Rajasthan,Baran,Chhabra APMC
Rajasthan,Hanumangarh,HanumangarhTown APMC
Rajasthan,Baran,Galla Chhipabarod - Chhabra APMC
Rajasthan,Ajmer,Kekri APMC
Rajasthan,Phalodi,Phalodi APMC
Rajasthan,Nagaur,Nagaur APMC
Rajasthan,Ganganagar,Jaitsar APMC
Rajasthan,Hanumangarh,Nohar APMC
Rajasthan,Kotputli- Behror,Bansoor APMC
Rajasthan,Ganganagar,Sri Karanpur APMC
Rajasthan,Sikar,Fatehpur APMC
Rajasthan,Pali,Sumerpur APMC
Rajasthan,Bhilwara,Gulabpura APMC
Rajasthan,Dholpur,Dholpur APMC
Rajasthan,Swai Madhopur,Gangapur City APMC
Rajasthan,Swai Madhopur,Sawai Madhopur APMC
Tamil Nadu,Chengalpattu,Thirukalukundram(Uzhavar Sandhai )
Tamil Nadu,Karur,Vengamedu(Uzhavar Sandhai )
Tamil Nadu,Villupuram,Thirukovilur APMC
Tamil Nadu,Cuddalore,Panruti APMC
Tamil Nadu,Ariyalur,Ariyalur Market APMC
Tamil Nadu,Villupuram,Chinnasalem APMC
Tamil Nadu,Cuddalore,Veppur APMC
Tamil Nadu,Salem,Thammampati APMC
Tamil Nadu,Tuticorin,Kovilpatti APMC
Tamil Nadu,Kancheepuram,Tiruttani APMC
Tamil Nadu,Villupuram,Gingee APMC
Tamil Nadu,Madurai,Madurai APMC
Tamil Nadu,Vellore,Kalavai APMC
Tamil Nadu,Krishnagiri,Krishnagiri APMC
Tamil Nadu,Vellore,Arcot APMC
Tamil Nadu,Sivaganga,Karaikudi APMC
Tamil Nadu,Vellore,Ambur APMC
Tamil Nadu,Erode,Erode APMC
Tamil Nadu,Erode,Perundurai APMC
Telangana,Karimnagar,Karimnagar APMC
Telangana,Khammam,Khammam APMC
Telangana,Ranga Reddy,Narsingi APMC
Telangana,Warangal,Mahabubabad APMC
Telangana,Wanaparthy,Wanaparthy town APMC
Telangana,Medak,Siddipet APMC
Telangana,Warangal,Jangaon APMC
Telangana,Khammam,Nelakondapally APMC
Telangana,Ranga Reddy,Pargi APMC
Telangana,Medak,Dubbak APMC
Telangana,Karimnagar,Jagtial APMC
Uttar Pradesh,Ballia,Vilthararoad APMC
Uttar Pradesh,Gorakhpur,Chorichora APMC
West Bengal,Medinipur(E),Tamluk (Medinipur E) APMC
West Bengal,Medinipur(W),Garbeta(Medinipur) APMC
West Bengal,Howrah,Uluberia APMC
West Bengal,Howrah,Ramkrishanpur(Howrah) APMC
West Bengal,Nadia,Nadia APMC
West Bengal,Nadia,Ranaghat APMC
West Bengal,Nadia,Chakdah APMC
West Bengal,Jhargram,Jhargram APMC
West Bengal,Medinipur(E),Egra/contai APMC
West Bengal,Paschim Bardhaman,Durgapur APMC
West Bengal,Nadia,Kalyani APMC
West Bengal,Kalimpong,Kalimpong APMC
West Bengal,Kolkata,Bara Bazar (Posta Bazar) APMC
West Bengal,Medinipur(E),Kolaghat APMC
West Bengal,Murshidabad,Jiaganj APMC
West Bengal,Malda,Samsi APMC
Assam,Barpeta,Baharihat APMC
Bihar,Khagaria,Mansi Mandi APMC
Chattisgarh,Raigarh,Salihabhata APMC
Chattisgarh,Sukma,Konta APMC
Chattisgarh,Bastar,Tokapal APMC
Chattisgarh,Bastar,Bastar APMC
Chattisgarh,Rajnandgaon,Dongargarh APMC
Chattisgarh,Balrampur,Rajpur APMC
Gujarat,Amreli,Amreli APMC
Gujarat,Vadodara(Baroda),Nasvadi APMC
Gujarat,Sabarkantha,Bhiloda APMC
Gujarat,Panchmahals,Godhra(Timbaroad) APMC
Haryana,Karnal,Kunjpura APMC
Karnataka,Kodagu,Somvarpet APMC
Karnataka,Kalaburagi,Alanda APMC
Karnataka,Gadag,Mundaragi APMC
Karnataka,Chamarajanagar,Kollegal APMC
Karnataka,Belagavi,Gokak APMC
Karnataka,Belagavi,Kudchi APMC
Karnataka,Haveri,Savanur APMC
Karnataka,Mysuru,K.R.Nagar APMC
Keralam,Idukki,Alacode  VFPCK Market
Keralam,Ernakulam,Malayattoor  VFPCK Market
Keralam,Pathanamthitta,Thengamam VFPCK Market
Keralam,Pathanamthitta,Ranni VFPCK Market
Keralam,Ernakulam,Pothanikkadu VFPCK Market
Keralam,Pathanamthitta,Mezhuveli  VFPCK Market
Keralam,Malappuram,Kannamangalam  VFPCK Market
Madhya Pradesh,Chhatarpur,Bakswaha APMC
Maharashtra,Nandurbar,Nandurbar APMC
Maharashtra,Nagpur,"M/S Kalpana Agri Commodities Marketing, Nagpur"
Maharashtra,Nanded,Hadgaon APMC
Maharashtra,Yavatmal,Ner Parasopant APMC
Maharashtra,Yavatmal,Aarni APMC
Maharashtra,Nanded,Himayatnagar APMC
Maharashtra,Parbhani,Parbhani APMC
Maharashtra,Amarawati,Shetkari Krushi Utapanna Bazar Roshankheda Tal Varud Dist Amravati
Maharashtra,Parbhani,"Shree Salasar Krushi Bazar, Dist Parbhani"
Maharashtra,Palghar,Shahapur APMC
Maharashtra,Hingoli,Akhadabalapur APMC
Maharashtra,Pune,Indapur APMC
Maharashtra,Dharashiv,Bhoom APMC
Maharashtra,Ahilyanagar,Karjat APMC
Maharashtra,Nanded,Mukhed APMC
Maharashtra,Jalgaon,Dharangaon APMC
Maharashtra,Buldhana,Motala APMC
Maharashtra,Ahilyanagar,Shrigonda APMC
Maharashtra,Ahilyanagar,Newasa APMC
Maharashtra,Satara,Lonand APMC
Maharashtra,Nagpur,Mandhal APMC
Maharashtra,Yavatmal,"Ramdev Krushi Bazaar, Digras road, Manora, Dist Washim"
Maharashtra,Palghar,Vasai APMC
Maharashtra,Jalna,Ghansawangi APMC
Maharashtra,Hingoli,Basmat APMC
Maharashtra,Ahilyanagar,Shrirampur(Belapur) APMC
Nagaland,Kohima,Jalukie APMC
Punjab,Ludhiana,Raikot APMC
Punjab,Patiala,Patran APMC
Punjab,Muktsar,Giddarbaha APMC
Punjab,Ludhiana,Machhiwara APMC
Punjab,Ferozpur,Talwandi Bhai APMC
Rajasthan,Ajmer,Ajmer(F&V) APMC
Rajasthan,Bharatpur,Nadwai APMC
Rajasthan,Dausa,Dausa APMC
Rajasthan,Swai Madhopur,Khandar APMC
Rajasthan,Ganganagar,Sri Vijayanagar APMC
Rajasthan,Jaipur,Kishangarh Renwal APMC
Rajasthan,Ganganagar,Raisingh Nagar APMC
Rajasthan,Bundi,Keshoraipatan APMC
Rajasthan,Jaipur,Rajdhanai Mandi KukarKheda APMC
Rajasthan,Deedwana Kuchaman,Kuchaman City APMC
Rajasthan,Barmer,Barmer APMC
Rajasthan,Pali,Sojat Road APMC
Rajasthan,Deeg,Kumher APMC
Tamil Nadu,Coimbatore,Madathukulam APMC
Tamil Nadu,Thiruvannamalai,Kilpennathur APMC
Tamil Nadu,Tuticorin,Ettayapuram APMC
Tamil Nadu,Thiruvellore,Tiruvellore APMC
Tamil Nadu,Vellore,Katpadi APMC
Tamil Nadu,Kancheepuram,Uthukottai APMC
Tamil Nadu,Madurai,Usilampatty APMC
Tamil Nadu,Namakkal,Rasipuram APMC
Telangana,Ranga Reddy,Vikarabad APMC
Telangana,Karimnagar,Jammikunta APMC
Telangana,Medak,Narsapur APMC
Telangana,Medak,Gajwel APMC
Uttar Pradesh,Ballia,Chitwadagaon APMC
Uttar Pradesh,Saharanpur,Nanuta APMC
Andhra Pradesh,SPSR Nellore,Rapur APMC
Andhra Pradesh,Krishna,Divi (HQ-Avanigadda) APMC
Chattisgarh,Janjgir,Amadula APMC
Chattisgarh,Mungeli,Lormi APMC
Gujarat,Rajkot,Gondal APMC
Gujarat,Mehsana,Vijapur APMC
Gujarat,Panchmahals,Godhra Kakanpur APMC
Gujarat,Mehsana,Vijapur(Gojjariya) APMC
Haryana,Bhiwani,Loharu APMC
Karnataka,Haveri,Byadagi APMC
Karnataka,Tumakuru,Madhugiri APMC
Karnataka,Vijayanagara,Hoovinahadagali APMC
Karnataka,Yadgir,Yadgir APMC
Karnataka,Koppal,Karatagi APMC
Keralam,Pathanamthitta,Puramattom VFPCK Market
Keralam,Ernakulam,Keerampara VFPCK Market
Keralam,Pathanamthitta,Pallikkal  VFPCK Market
Keralam,Ernakulam,Thuravoor VFPCK Market
Madhya Pradesh,Seoni,Seoni(F&V) APMC
Madhya Pradesh,Ratlam,Jawra(F&V) APMC
Madhya Pradesh,Alirajpur,Alirajpur(F&V) APMC
Madhya Pradesh,Sagar,Jaisinagar APMC
Maharashtra,Pune,Nira(Saswad) APMC
Maharashtra,Beed,Kaij APMC
Maharashtra,Beed,Vadvani APMC
Maharashtra,Pune,Nira APMC
Maharashtra,Nanded,Umari APMC
Maharashtra,Ahilyanagar,"Prasanna Krushi Market, Tal Parnet, Dist Ahilyanagar"
Maharashtra,Wardha,Ashti APMC
Meghalaya,South West Khasi Hills,Mawkyrwat APMC
Meghalaya,West Garo Hills,Dadengiri APMC
Nagaland,Phek,Pfatsero APMC
Odisha,Sambalpur,Gosala APMC
Punjab,Fatehgarh,Chanarthal APMC
Rajasthan,Jaipur,Chaksu APMC
Rajasthan,Tonk,Todaraisingh APMC
Rajasthan,Hanumangarh,Pilibanga APMC
Rajasthan,Churu,Sardar Shahar APMC
Tamil Nadu,Coimbatore,Thiruppur APMC
Tamil Nadu,Virudhunagar,Aruppukottai APMC
Tamil Nadu,Thirunelveli,Tirunelvali APMC
Tamil Nadu,Thiruvannamalai,Desur APMC
Tamil Nadu,Villupuram,Thiruvennainallur APMC
Tamil Nadu,Kallakuruchi,Thirunavalur APMC
Tamil Nadu,Coimbatore,Coimbatore APMC
Telangana,Mahbubnagar,Mahabubnagar(Rythu Bazar) APMC
Telangana,Mahbubnagar,Devarakadra APMC
Telangana,Nalgonda,Devarkonda(Dindi) APMC
Telangana,Nalgonda,Devarakonda APMC
Telangana,Karimnagar,Manakodur APMC
Telangana,Nalgonda,Devarkonda(Mallepalli) APMC
Uttarakhand,Udhamsinghnagar,Nanakmatta APMC
Andhra Pradesh,Krishna,Penamaluru (HQ-Kankipadu) APMC
Assam,Kamrup,Sontoli APMC
Bihar,Kishanganj,Bahadurganj APMC
Chattisgarh,Jashpur,Jaspur APMC
Chattisgarh,Jashpur,Kotba APMC
